gene_name	cell_line	aCount	bCount	totalCount	allelic_exp	minor_exp	label	XCI	cat_final
CHRDL1	F7cl4	73	42	115	in-between	0.365217391	F7cl4_1	escape	consistent up
CHRDL1	F7cl4	71	42	113	in-between	0.371681416	F7cl4_2	escape	consistent up
CHRDL1	F7cl4	56	37	93	in-between	0.397849462	F7cl4_3	escape	consistent up
CITED1	CD	15	0	15	monoallelic	0.0	CD_1		
CITED1	CD	12	0	12	monoallelic	0.0	CD_2		
CITED1	CD	12	0	12	monoallelic	0.0	CD_3		
CITED1	CE	0	15	15	monoallelic	0.0	CE_1		
CITED1	CE	0	21	21	monoallelic	0.0	CE_3		
CITED1	F002	10	0	10	monoallelic	0.0	F002_1		
CITED1	F002	26	0	26	monoallelic	0.0	F002_2		
CITED1	F002	12	0	12	monoallelic	0.0	F002_3		
CXorf56	ASD	137	0	137	monoallelic	0.0	ASD_1	inactive	unchanged
CXorf56	ASD	131	0	131	monoallelic	0.0	ASD_2	inactive	unchanged
CXorf56	ASD	144	0	144	monoallelic	0.0	ASD_3	inactive	unchanged
DCAF12L1	F7cl15	14	0	14	monoallelic	0.0	F7cl15_1		unchanged
DCAF12L1	F7cl15	21	0	21	monoallelic	0.0	F7cl15_2		unchanged
DCAF12L1	F7cl15	28	0	28	monoallelic	0.0	F7cl15_3		unchanged
DCAF12L1	F7cl4	26	0	26	monoallelic	0.0	F7cl4_1		unchanged
DCAF12L1	F7cl4	22	0	22	monoallelic	0.0	F7cl4_2		unchanged
DCAF12L1	F7cl4	33	0	33	monoallelic	0.0	F7cl4_3		unchanged
DCAF12L2	CE	13	0	13	monoallelic	0.0	CE_1		unchanged
DCAF12L2	CE	15	0	15	monoallelic	0.0	CE_2		unchanged
DCAF12L2	F7cl4	11	0	11	monoallelic	0.0	F7cl4_2		unchanged
DDX3X	ASD	0	20	20	monoallelic	0.0	ASD_3	escape	unchanged
DGKK	ASD	0	23	23	monoallelic	0.0	ASD_1		unchanged
DGKK	ASD	0	23	23	monoallelic	0.0	ASD_2		unchanged
DGKK	ASD	0	27	27	monoallelic	0.0	ASD_3		unchanged
DGKK	F002	70	0	70	monoallelic	0.0	F002_1		unchanged
DGKK	F002	17	0	17	monoallelic	0.0	F002_2		unchanged
DGKK	F002	22	1	23	monoallelic	0.043478261	F002_3		unchanged
EDA2R	F002	0	19	19	monoallelic	0.0	F002_1	inactive	unchanged
EDA2R	F002	0	20	20	monoallelic	0.0	F002_2	inactive	unchanged
EDA2R	F002	0	15	15	monoallelic	0.0	F002_3	inactive	unchanged
EDA2R	F7cl15	18	0	18	monoallelic	0.0	F7cl15_1	inactive	unchanged
EDA2R	F7cl15	30	0	30	monoallelic	0.0	F7cl15_2	inactive	unchanged
EDA2R	F7cl15	28	0	28	monoallelic	0.0	F7cl15_3	inactive	unchanged
EDA2R	F7cl4	15	0	15	monoallelic	0.0	F7cl4_1	inactive	unchanged
EDA2R	F7cl4	36	0	36	monoallelic	0.0	F7cl4_2	inactive	unchanged
EDA2R	F7cl4	14	0	14	monoallelic	0.0	F7cl4_3	inactive	unchanged
EIF2S3	ASD	476	1150	1626	in-between	0.292742927	ASD_1	escape	unchanged
EIF2S3	ASD	390	1031	1421	in-between	0.274454609	ASD_2	escape	unchanged
EIF2S3	ASD	405	972	1377	in-between	0.294117647	ASD_3	escape	unchanged
EIF2S3	CD	1787	2244	4031	biallelic	0.443314314	CD_1	escape	unchanged
EIF2S3	CD	1774	2203	3977	biallelic	0.446064873	CD_2	escape	unchanged
EIF2S3	CD	1867	2349	4216	biallelic	0.442836812	CD_3	escape	unchanged
EIF2S3	CE	1835	2213	4048	biallelic	0.453310277	CE_1	escape	unchanged
EIF2S3	CE	1635	2022	3657	biallelic	0.447087777	CE_2	escape	unchanged
EIF2S3	CE	1920	2286	4206	biallelic	0.456490728	CE_3	escape	unchanged
EIF2S3	F002	2176	1723	3899	biallelic	0.441908182	F002_1	escape	unchanged
EIF2S3	F002	1926	1763	3689	biallelic	0.477907292	F002_2	escape	unchanged
EIF2S3	F002	1973	1709	3682	biallelic	0.464149919	F002_3	escape	unchanged
EIF2S3	F7cl15	1836	0	1836	monoallelic	0.0	F7cl15_1	escape	unchanged
EIF2S3	F7cl15	1727	0	1727	monoallelic	0.0	F7cl15_2	escape	unchanged
EIF2S3	F7cl15	1767	0	1767	monoallelic	0.0	F7cl15_3	escape	unchanged
EIF2S3	F7cl4	1762	0	1762	monoallelic	0.0	F7cl4_1	escape	unchanged
EIF2S3	F7cl4	1712	0	1712	monoallelic	0.0	F7cl4_2	escape	unchanged
EIF2S3	F7cl4	1601	0	1601	monoallelic	0.0	F7cl4_3	escape	unchanged
EOLA1	F002	0	17	17	monoallelic	0.0	F002_2	inactive	unchanged
EOLA1	F002	0	13	13	monoallelic	0.0	F002_3	inactive	unchanged
FAAH2	F7cl15	0	14	14	monoallelic	0.0	F7cl15_2	inactive	unchanged
FAAH2	F7cl4	0	10	10	monoallelic	0.0	F7cl4_2	inactive	unchanged
FAM155B	ASD	48	0	48	monoallelic	0.0	ASD_1		sporadic up
FAM155B	ASD	42	0	42	monoallelic	0.0	ASD_2		sporadic up
FAM155B	ASD	57	0	57	monoallelic	0.0	ASD_3		sporadic up
FAM155B	CD	0	48	48	monoallelic	0.0	CD_1		sporadic up
FAM155B	CD	0	50	50	monoallelic	0.0	CD_2		sporadic up
FAM155B	CD	0	73	73	monoallelic	0.0	CD_3		sporadic up
FAM155B	CE	23	0	23	monoallelic	0.0	CE_1		sporadic up
FAM155B	CE	33	0	33	monoallelic	0.0	CE_2		sporadic up
FAM155B	CE	36	0	36	monoallelic	0.0	CE_3		sporadic up
FAM155B	F002	76	0	76	monoallelic	0.0	F002_1		sporadic up
FAM155B	F002	83	0	83	monoallelic	0.0	F002_2		sporadic up
FAM155B	F002	68	0	68	monoallelic	0.0	F002_3		sporadic up
FAM155B	F7cl15	0	34	34	monoallelic	0.0	F7cl15_1		sporadic up
FAM155B	F7cl15	0	38	38	monoallelic	0.0	F7cl15_2		sporadic up
FAM155B	F7cl15	0	49	49	monoallelic	0.0	F7cl15_3		sporadic up
FAM155B	F7cl4	0	47	47	monoallelic	0.0	F7cl4_1		sporadic up
FAM155B	F7cl4	0	39	39	monoallelic	0.0	F7cl4_2		sporadic up
FAM155B	F7cl4	0	42	42	monoallelic	0.0	F7cl4_3		sporadic up
FGD1	CD	141	0	141	monoallelic	0.0	CD_1	inactive	unchanged
FGD1	CD	138	0	138	monoallelic	0.0	CD_2	inactive	unchanged
FGD1	CD	130	0	130	monoallelic	0.0	CD_3	inactive	unchanged
FGD1	CE	0	129	129	monoallelic	0.0	CE_1	inactive	unchanged
FGD1	CE	0	140	140	monoallelic	0.0	CE_2	inactive	unchanged
FGD1	CE	0	120	120	monoallelic	0.0	CE_3	inactive	unchanged
FLNA	F002	0	46	46	monoallelic	0.0	F002_1	inactive	sporadic up
FLNA	F002	0	19	19	monoallelic	0.0	F002_2	inactive	sporadic up
FLNA	F002	0	15	15	monoallelic	0.0	F002_3	inactive	sporadic up
GABRQ	F002	19	0	19	monoallelic	0.0	F002_1		unchanged
GABRQ	F002	15	0	15	monoallelic	0.0	F002_2		unchanged
GABRQ	F002	12	0	12	monoallelic	0.0	F002_3		unchanged
GABRQ	F7cl15	0	10	10	monoallelic	0.0	F7cl15_1		unchanged
GABRQ	F7cl15	0	22	22	monoallelic	0.0	F7cl15_2		unchanged
GABRQ	F7cl15	0	32	32	monoallelic	0.0	F7cl15_3		unchanged
GABRQ	F7cl4	0	17	17	monoallelic	0.0	F7cl4_1		unchanged
GABRQ	F7cl4	0	25	25	monoallelic	0.0	F7cl4_2		unchanged
GABRQ	F7cl4	0	16	16	monoallelic	0.0	F7cl4_3		unchanged
GDPD2	CD	0	124	124	monoallelic	0.0	CD_1		sporadic down
GDPD2	CD	0	107	107	monoallelic	0.0	CD_2		sporadic down
GDPD2	CD	0	74	74	monoallelic	0.0	CD_3		sporadic down
GDPD2	CE	83	0	83	monoallelic	0.0	CE_1		sporadic down
GDPD2	CE	99	0	99	monoallelic	0.0	CE_2		sporadic down
GDPD2	CE	119	0	119	monoallelic	0.0	CE_3		sporadic down
GPC4	ASD	39	666	705	monoallelic	0.055319149	ASD_1	inactive	consistent up
GPC4	ASD	34	678	712	monoallelic	0.047752809	ASD_2	inactive	consistent up
GPC4	ASD	55	711	766	monoallelic	0.071801567	ASD_3	inactive	consistent up
GPC4	F002	1427	181	1608	monoallelic	0.112562189	F002_1	inactive	consistent up
GPC4	F002	972	106	1078	monoallelic	0.098330241	F002_2	inactive	consistent up
GPC4	F002	1022	89	1111	monoallelic	0.080108011	F002_3	inactive	consistent up
GPR173	F002	0	59	59	monoallelic	0.0	F002_1	inactive	sporadic up
GPR173	F002	0	37	37	monoallelic	0.0	F002_2	inactive	sporadic up
GPR173	F002	0	37	37	monoallelic	0.0	F002_3	inactive	sporadic up
GRIA3	CD	4	25	29	in-between	0.137931034	CD_1	variable	sporadic up
GRIA3	CD	7	7	14	in-between	0.5	CD_2	variable	sporadic up
GRIA3	CD	10	19	29	in-between	0.344827586	CD_3	variable	sporadic up
GRIA3	CE	11	0	11	monoallelic	0.0	CE_3	variable	sporadic up
GRIPAP1	ASD	0	116	116	monoallelic	0.0	ASD_1	inactive	unchanged
GRIPAP1	ASD	0	120	120	monoallelic	0.0	ASD_2	inactive	unchanged
GRIPAP1	ASD	0	108	108	monoallelic	0.0	ASD_3	inactive	unchanged
GRIPAP1	F7cl15	150	0	150	monoallelic	0.0	F7cl15_1	inactive	unchanged
GRIPAP1	F7cl15	142	0	142	monoallelic	0.0	F7cl15_2	inactive	unchanged
GRIPAP1	F7cl15	128	0	128	monoallelic	0.0	F7cl15_3	inactive	unchanged
GRIPAP1	F7cl4	186	0	186	monoallelic	0.0	F7cl4_1	inactive	unchanged
GRIPAP1	F7cl4	157	0	157	monoallelic	0.0	F7cl4_2	inactive	unchanged
GRIPAP1	F7cl4	109	0	109	monoallelic	0.0	F7cl4_3	inactive	unchanged
GRPR	ASD	25	8	33	in-between	0.242424242	ASD_1	variable	consistent up
GRPR	ASD	32	5	37	in-between	0.135135135	ASD_2	variable	consistent up
GRPR	ASD	42	8	50	in-between	0.16	ASD_3	variable	consistent up
GRPR	F7cl15	11	47	58	in-between	0.189655172	F7cl15_1	variable	consistent up
GRPR	F7cl15	14	19	33	in-between	0.424242424	F7cl15_2	variable	consistent up
GRPR	F7cl15	5	22	27	in-between	0.185185185	F7cl15_3	variable	consistent up
GRPR	F7cl4	86	57	143	biallelic	0.398601399	F7cl4_1	variable	consistent up
GRPR	F7cl4	47	44	91	biallelic	0.483516484	F7cl4_2	variable	consistent up
GRPR	F7cl4	35	22	57	biallelic	0.385964912	F7cl4_3	variable	consistent up
GSPT2	ASD	100	2	102	monoallelic	0.019607843	ASD_1	inactive	unchanged
GSPT2	ASD	98	0	98	monoallelic	0.0	ASD_2	inactive	unchanged
GSPT2	ASD	128	0	128	monoallelic	0.0	ASD_3	inactive	unchanged
HDAC8	CD	48	0	48	monoallelic	0.0	CD_1	inactive	sporadic down
HDAC8	CD	38	0	38	monoallelic	0.0	CD_2	inactive	sporadic down
HDAC8	CD	44	0	44	monoallelic	0.0	CD_3	inactive	sporadic down
HDAC8	CE	0	16	16	monoallelic	0.0	CE_1	inactive	sporadic down
HDAC8	CE	0	19	19	monoallelic	0.0	CE_2	inactive	sporadic down
HDAC8	CE	0	40	40	monoallelic	0.0	CE_3	inactive	sporadic down
HDAC8	F002	39	0	39	monoallelic	0.0	F002_1	inactive	sporadic down
HDAC8	F002	20	0	20	monoallelic	0.0	F002_2	inactive	sporadic down
HDAC8	F002	39	0	39	monoallelic	0.0	F002_3	inactive	sporadic down
HEPH	F002	215	0	215	monoallelic	0.0	F002_1	inactive	unchanged
HEPH	F002	216	0	216	monoallelic	0.0	F002_2	inactive	unchanged
HEPH	F002	184	0	184	monoallelic	0.0	F002_3	inactive	unchanged
HEPH	F7cl15	0	281	281	monoallelic	0.0	F7cl15_1	inactive	unchanged
HEPH	F7cl15	0	179	179	monoallelic	0.0	F7cl15_2	inactive	unchanged
HEPH	F7cl15	0	222	222	monoallelic	0.0	F7cl15_3	inactive	unchanged
HEPH	F7cl4	0	279	279	monoallelic	0.0	F7cl4_1	inactive	unchanged
HEPH	F7cl4	0	239	239	monoallelic	0.0	F7cl4_2	inactive	unchanged
HEPH	F7cl4	0	212	212	monoallelic	0.0	F7cl4_3	inactive	unchanged
HTATSF1	CD	24	491	515	monoallelic	0.046601942	CD_1	inactive	unchanged
HTATSF1	CD	14	425	439	monoallelic	0.031890661	CD_2	inactive	unchanged
HTATSF1	CD	21	426	447	monoallelic	0.046979866	CD_3	inactive	unchanged
HTATSF1	CE	446	0	446	monoallelic	0.0	CE_1	inactive	unchanged
HTATSF1	CE	431	0	431	monoallelic	0.0	CE_2	inactive	unchanged
HTATSF1	CE	390	0	390	monoallelic	0.0	CE_3	inactive	unchanged
HUWE1	F002	98	0	98	monoallelic	0.0	F002_1	inactive	unchanged
HUWE1	F002	85	0	85	monoallelic	0.0	F002_2	inactive	unchanged
HUWE1	F002	80	0	80	monoallelic	0.0	F002_3	inactive	unchanged
HUWE1	F7cl15	108	0	108	monoallelic	0.0	F7cl15_1	inactive	unchanged
HUWE1	F7cl15	134	1	135	monoallelic	0.007407407	F7cl15_2	inactive	unchanged
